src_type,src_id,dst_type,dst_id,edge_type
class_node,760,class_node,760,selfLoop
value_node,989,value_node,989,selfLoop
type_node,173,type_node,173,selfLoop
type_node,366,type_node,366,selfLoop
class_node,621,class_node,621,selfLoop
attribute_node,449,attribute_node,449,selfLoop
attribute_node,453,attribute_node,453,selfLoop
type_node,328,type_node,328,selfLoop
type_node,383,type_node,383,selfLoop
attribute_node,142,attribute_node,142,selfLoop
class_node,572,class_node,572,selfLoop
attribute_node,876,attribute_node,876,selfLoop
value_node,1059,value_node,1059,selfLoop
value_node,160,value_node,160,selfLoop
class_node,521,class_node,521,selfLoop
value_node,301,value_node,301,selfLoop
value_node,419,value_node,419,selfLoop
value_node,999,value_node,999,selfLoop
value_node,294,value_node,294,selfLoop
class_node,620,class_node,620,selfLoop
attribute_node,260,attribute_node,260,selfLoop
attribute_node,520,attribute_node,520,selfLoop
value_node,415,value_node,415,selfLoop
attribute_node,706,attribute_node,706,selfLoop
value_node,1072,value_node,1072,selfLoop
attribute_node,152,attribute_node,152,selfLoop
attribute_node,847,attribute_node,847,selfLoop
attribute_node,393,attribute_node,393,selfLoop
value_node,462,value_node,462,selfLoop
value_node,981,value_node,981,selfLoop
attribute_node,42,attribute_node,42,selfLoop
attribute_node,332,attribute_node,332,selfLoop
value_node,367,value_node,367,selfLoop
attribute_node,873,attribute_node,873,selfLoop
class_node,329,class_node,329,selfLoop
value_node,1142,value_node,1142,selfLoop
attribute_node,839,attribute_node,839,selfLoop
class_node,590,class_node,590,selfLoop
type_node,251,type_node,251,selfLoop
value_node,712,value_node,712,selfLoop
attribute_node,859,attribute_node,859,selfLoop
value_node,808,value_node,808,selfLoop
type_node,209,type_node,209,selfLoop
type_node,213,type_node,213,selfLoop
class_node,181,class_node,181,selfLoop
attribute_node,145,attribute_node,145,selfLoop
value_node,270,value_node,270,selfLoop
value_node,971,value_node,971,selfLoop
value_node,78,value_node,78,selfLoop
class_node,503,class_node,503,selfLoop
attribute_node,605,attribute_node,605,selfLoop
type_node,242,type_node,242,selfLoop
attribute_node,753,attribute_node,753,selfLoop
class_node,556,class_node,556,selfLoop
attribute_node,223,attribute_node,223,selfLoop
type_node,389,type_node,389,selfLoop
attribute_node,156,attribute_node,156,selfLoop
attribute_node,486,attribute_node,486,selfLoop
attribute_node,2,attribute_node,2,selfLoop
value_node,431,value_node,431,selfLoop
attribute_node,64,attribute_node,64,selfLoop
value_node,1020,value_node,1020,selfLoop
class_node,583,class_node,583,selfLoop
attribute_node,49,attribute_node,49,selfLoop
value_node,684,value_node,684,selfLoop
attribute_node,629,attribute_node,629,selfLoop
class_node,717,class_node,717,selfLoop
attribute_node,321,attribute_node,321,selfLoop
value_node,570,value_node,570,selfLoop
class_node,482,class_node,482,selfLoop
attribute_node,637,attribute_node,637,selfLoop
class_node,510,class_node,510,selfLoop
class_node,371,class_node,371,selfLoop
value_node,1091,value_node,1091,selfLoop
class_node,671,class_node,671,selfLoop
attribute_node,640,attribute_node,640,selfLoop
value_node,854,value_node,854,selfLoop
class_node,111,class_node,111,selfLoop
value_node,258,value_node,258,selfLoop
attribute_node,665,attribute_node,665,selfLoop
class_node,407,class_node,407,selfLoop
value_node,596,value_node,596,selfLoop
value_node,205,value_node,205,selfLoop
value_node,331,value_node,331,selfLoop
value_node,24,value_node,24,selfLoop
attribute_node,269,attribute_node,269,selfLoop
attribute_node,875,attribute_node,875,selfLoop
attribute_node,295,attribute_node,295,selfLoop
attribute_node,459,attribute_node,459,selfLoop
attribute_node,247,attribute_node,247,selfLoop
class_node,406,class_node,406,selfLoop
value_node,175,value_node,175,selfLoop
value_node,838,value_node,838,selfLoop
value_node,879,value_node,879,selfLoop
type_node,24,type_node,24,selfLoop
class_node,360,class_node,360,selfLoop
attribute_node,468,attribute_node,468,selfLoop
value_node,756,value_node,756,selfLoop
class_node,573,class_node,573,selfLoop
value_node,334,value_node,334,selfLoop
attribute_node,163,attribute_node,163,selfLoop
attribute_node,407,attribute_node,407,selfLoop
attribute_node,654,attribute_node,654,selfLoop
attribute_node,789,attribute_node,789,selfLoop
value_node,408,value_node,408,selfLoop
attribute_node,610,attribute_node,610,selfLoop
class_node,430,class_node,430,selfLoop
value_node,871,value_node,871,selfLoop
attribute_node,677,attribute_node,677,selfLoop
class_node,584,class_node,584,selfLoop
type_node,336,type_node,336,selfLoop
value_node,1106,value_node,1106,selfLoop
class_node,307,class_node,307,selfLoop
attribute_node,148,attribute_node,148,selfLoop
attribute_node,245,attribute_node,245,selfLoop
value_node,215,value_node,215,selfLoop
class_node,525,class_node,525,selfLoop
value_node,315,value_node,315,selfLoop
class_node,11,class_node,11,selfLoop
value_node,245,value_node,245,selfLoop
value_node,511,value_node,511,selfLoop
attribute_node,663,attribute_node,663,selfLoop
value_node,925,value_node,925,selfLoop
class_node,680,class_node,680,selfLoop
type_node,77,type_node,77,selfLoop
type_node,404,type_node,404,selfLoop
class_node,703,class_node,703,selfLoop
class_node,604,class_node,604,selfLoop
value_node,595,value_node,595,selfLoop
attribute_node,438,attribute_node,438,selfLoop
class_node,244,class_node,244,selfLoop
class_node,386,class_node,386,selfLoop
class_node,166,class_node,166,selfLoop
value_node,1042,value_node,1042,selfLoop
type_node,298,type_node,298,selfLoop
value_node,666,value_node,666,selfLoop
attribute_node,214,attribute_node,214,selfLoop
type_node,220,type_node,220,selfLoop
class_node,173,class_node,173,selfLoop
